country_code, maaeone, lapefodp, mapeone, maaetwo, lapeftdp, mapetwo
AL,57.39766081871345,20.0,16.461988304093566,51.72514619883041,0.0,-5.584795321637427
DZ,26.33065711047362,37.5,-8.639622355218686,26.66120958552151,37.5,-10.045040331737578
AM,39.121804097703006,33.33333333333333,-0.6118835567767305,40.44509439376557,66.66666666666666,-1.5816797122164512
AZ,36.15368549579076,33.33333333333333,18.499550157444894,33.445729708887605,33.33333333333333,15.237709658762292
BH,57.24747474747475,100.0,16.338383838383837,73.3838383838384,100.0,-4.8989898989899
BD,26.3588223906125,18.181818181818183,-11.343811969352203,25.82115957122769,13.636363636363635,-9.540315494097758
BY,22.095238095238102,75.0,11.337662337662339,22.97402597402598,50.0,5.64069264069264
BE,60.590029960026364,62.5,-30.650032283605448,68.0050719453017,68.75,-42.288510766193696
BO,48.144972147713005,14.035087719298245,-17.54275495389683,47.611803204366936,22.807017543859647,-15.706696089904279
BA,65.2883789843002,80.0,7.336571755384528,61.11958487416176,120.0,0.3966933078966943
BR,33.60462636584419,19.25515055467512,-10.85554170703733,35.477385439387064,38.35182250396196,-12.407970733779575
BG,64.37673437673438,27.27272727272727,-10.623265623265626,71.25707047582047,18.181818181818183,-24.055429524179527
CA,7.34415857639118,63.63636363636363,-48.10678673773093,8.55200784434268,72.72727272727273,-54.71607698802855
CO,22.98206249107376,10.38961038961039,4.232557906625892,22.76465385950307,10.714285714285714,4.692558559128827
CR,57.63768638768639,22.22222222222222,32.136930529787676,58.03356696213839,44.44444444444444,23.45306809592524
CZ,68.56203007518796,0.0,25.14097744360903,53.90820802005012,0.0,7.636278195488721
EG,24.61979531045403,13.636363636363635,-7.933516518378407,28.433444514669894,13.636363636363635,-7.895080937819905
ET,72.32859153456059,0.0,-7.236419725365935,79.3182945192135,12.5,-14.4531882353201
GT,43.5953964103263,6.896551724137931,0.2091147244365803,44.21265831929025,13.793103448275861,-0.9712318165409439
HU,47.71344420450898,100.0,0.7080375155579923,50.704233302893016,50.0,-10.513458990748644
IN,20.925117348126808,5.163853028798411,-96.94566003061826,66.18389336683933,5.461767626613704,-98.67953113694612
ID,32.21222669204166,0.0,-10.73163852214612,35.84731525112791,4.615384615384616,-12.789968781188655
CI,66.82098765432099,100.0,66.82098765432097,53.08641975308642,100.0,49.38271604938272
IR,13.257844112865742,1.1494252873563218,1.0092372774144864,15.446235301905942,2.8735632183908044,2.2996327909614953
IQ,25.99270843533056,50.943396226415096,3.5553912725168253,27.35086607896869,62.264150943396224,4.5041195926047966
IL,50.21046736182229,25.0,5.539520331324694,52.4761448803088,16.666666666666664,-14.26186118353997
IT,38.1417775057603,16.666666666666664,-18.30850420196571,42.25389588154047,16.666666666666664,-25.767067791812938
JP,60.05594736334741,28.57142857142857,2.200093186481623,63.003115985513375,28.57142857142857,-12.847816293484104
KE,73.00083254196396,100.0,-12.718864427733006,75.93102734715877,75.0,-19.826548410416986
KW,51.39729505295543,0.0,-7.416721119551307,55.04209888643851,0.0,-17.615133817964008
MK,63.71262126212621,0.0,-17.282192504964783,65.36350063577787,50.0,-21.608053662509107
MQ,69.23076923076923,69.23076923076923,69.23076923076923,47.008547008547005,46.15384615384615,47.008547008547005
MR,71.77689594356262,100.0,-8.778659611992945,88.9836860670194,100.0,-36.63359788359788
MX,44.96790436706068,12.121212121212121,-17.26025614559025,46.70099738769994,10.845295055821373,-15.916659058187028
MD,58.85364126189815,53.333333333333336,-29.229946913433153,65.08811524866572,46.666666666666664,-33.591075081900776
MA,65.56220775530238,28.57142857142857,25.52982349358081,64.26000534801403,32.142857142857146,17.220683290076924
NZ,62.5,100.0,62.5,75.0,100.0,75.0
OM,57.545871441220285,50.0,5.976103999359815,61.59856616251964,58.333333333333336,3.6334498834498836
PK,37.12680948283135,40.0,-6.540498791732858,39.20249730013385,30.0,-7.9106592974398895
