country_code,error(1-day),error(2-day),mean of consecutive difference,total data points,number of outliers, how much we took(%)
MG,84.59579180509414,80.97452934662238,1.8703703703703705,54,12,77.77777777777779
MW,100.0,100.0,0.0,1,1,0.0
MY,223.14814814814815,84.25925925925927,0.5,30,13,56.666666666666664
MV,100.0,100.0,0.0,20,20,0.0
ML,68.75,75.0,1.2,5,2,60.0
MT,100.0,100.0,0.25,4,1,75.0
MQ,69.23076923076923,53.84615384615385,0.0,8,8,0.0
MR,75.65891472868218,98.02325581395348,1.6981132075471699,53,11,79.24528301886792
YT,75.0,50.0,0.0,8,8,0.0
MX,40.877852075820755,45.16074472520153,153.44347826086957,115,24,79.13043478260869
MD,58.84869811836105,69.65698159518384,3.3879310344827585,116,28,75.86206896551724
ME,69.79166666666667,50.69444444444445,1.121212121212121,33,10,69.6969696969697
MA,65.37386596429619,64.78082277687194,1.697674418604651,86,20,76.74418604651163
NA,96.29629629629629,62.96296296296296,0.8571428571428571,14,6,57.14285714285714
NP,77.125,49.0,0.9,50,11,78.0
NL,87.96318141829103,95.8496521503978,13.043956043956044,91,16,82.41758241758241
NZ,66.66666666666667,66.66666666666667,0.5714285714285714,7,2,71.42857142857143
NI,94.09863945578232,90.88435374149661,2.125,16,3,81.25
NE,68.45238095238095,68.45238095238095,0.6875,32,5,84.375
NG,65.30979267355217,74.46600005269615,4.697247706422019,109,22,79.81651376146789
NO,84.02777777777777,93.05555555555556,1.1428571428571428,42,19,54.761904761904766
OM,54.40920851635137,58.84184268112839,3.9,90,7,92.22222222222223
PK,35.16684504729081,37.11617834900028,22.132075471698112,106,16,84.90566037735849
PA,30.688717613567267,35.67089320995356,4.303571428571429,112,20,82.14285714285714
PG,100.0,100.0,0.0,3,3,0.0
PY,58.83838383838384,57.683982683982684,0.8157894736842105,38,6,84.21052631578947
PE,24.706742849811526,212.53001858961866,4042.4158415841584,101,2,98.01980198019803
PH,99.39885793077855,121.36690460106075,13.991228070175438,114,15,86.8421052631579
PL,53.61397221319695,62.15205755750833,5.7844827586206895,116,21,81.89655172413794
PT,43.36005425665736,55.887259279066974,2.8421052631578947,114,21,81.57894736842105
QA,53.03921568627451,52.875816993464056,1.1866666666666668,75,25,66.66666666666666
RO,23.779860973219865,25.328819374689928,6.026086956521739,115,24,79.13043478260869
RU,19.316637497552932,21.011154226884138,26.17241379310345,116,30,74.13793103448276
RW,100.0,100.0,0.0,7,7,0.0
SM,100.0,100.0,0.0,3,3,0.0
SA,17.414469607959603,18.88460438707526,3.243478260869565,115,20,82.6086956521739
SN,42.31182795698925,41.935483870967744,1.1046511627906976,86,25,70.93023255813954
RS,58.41788056904337,67.57261795052493,2.1153846153846154,104,19,81.73076923076923
SL,100.0,100.0,0.6666666666666666,3,0,100.0
SG,90.9090909090909,100.0,0.2857142857142857,14,4,71.42857142857143
SK,75.0,75.0,0.4,15,6,60.0
SI,78.27380952380953,53.273809523809526,0.36585365853658536,41,14,65.85365853658537
SO,73.80952380952382,79.3452380952381,1.8285714285714285,35,8,77.14285714285715
ZA,42.501366704322834,45.13521185964113,39.85585585585586,111,21,81.08108108108108
KR,81.08108108108108,58.108108108108105,0.35185185185185186,54,18,66.66666666666666
ES,1152.0620370357728,1384.9856900687134,79.17857142857143,84,11,86.90476190476191
LK,100.0,100.0,0.0,3,3,0.0
SD,53.230781388156274,54.63612270570129,5.037974683544304,79,13,83.54430379746836
SR,100.0,76.08695652173913,1.1666666666666667,24,2,91.66666666666666
SZ,76.73611111111111,57.63888888888889,1.03125,32,9,71.875
SE,224.24692017783164,256.3000698710013,29.908163265306122,98,21,78.57142857142857
CH,87.50186754591871,95.86430630429265,5.728571428571429,70,14,80.0
TZ,100.0,100.0,2.5,2,0,100.0
TH,100.0,100.0,0.2222222222222222,9,2,77.77777777777779
TG,100.0,90.9090909090909,0.375,16,6,62.5
TN,100.0,0.0,0.0,14,14,0.0
TR,12.01026254709993,14.562897774098168,2.920353982300885,113,21,81.41592920353983
UG,100.0,100.0,0.14285714285714285,7,1,85.71428571428571
UA,26.21160629325468,28.70794452697354,4.893805309734513,113,17,84.95575221238938
AE,54.745370370370374,42.81305114638448,1.076086956521739,92,21,77.17391304347827
GB,118.42279433058182,138.4532595903196,165.82407407407408,108,11,89.81481481481481
US,40.69464670081715,47.55542126785486,324.640350877193,114,23,79.82456140350878
UY,100.0,90.47619047619048,0.16666666666666666,24,4,83.33333333333334
UZ,60.045351473922906,63.180272108843525,0.8833333333333333,60,19,68.33333333333333
VE,40.31525573192239,37.332451499118164,1.0,66,13,80.3030303030303
VN,35.714285714285715,80.95238095238096,0.75,8,2,75.0
ZM,216.37362637362637,272.6373626373626,9.064516129032258,31,6,80.64516129032258
ZW,88.41991341991343,91.39610389610391,3.740740740740741,27,6,77.77777777777779
BR,28.65820323111978,33.18024406634392,209.4144144144144,111,22,80.18018018018019
BR,28.65820323111978,33.18024406634392,209.4144144144144,111,22,80.18018018018019
IN,65.74973557583036,67.0319593470312,96.23008849557522,113,10,91.1504424778761
IR,12.533359001360646,15.23497507231763,13.632478632478632,117,22,81.19658119658119
RU,19.337594258808984,21.125761172282154,25.304347826086957,115,30,73.91304347826086
ZA,41.50454370529379,46.818524774210246,39.589285714285715,112,21,81.25
US,40.69464670081715,47.55542126785486,324.640350877193,114,23,79.82456140350878
BR,28.65820323111978,33.18024406634392,209.4144144144144,111,22,80.18018018018019
BD,26.526081258713763,26.636504884248176,6.435897435897436,117,23,80.34188034188034
IN,65.74973557583036,67.0319593470312,96.23008849557522,113,10,91.1504424778761
IR,12.533359001360646,15.23497507231763,13.632478632478632,117,22,81.19658119658119
MX,40.877852075820755,45.16074472520153,153.44347826086957,115,24,79.13043478260869
RU,19.337594258808984,21.125761172282154,25.304347826086957,115,30,73.91304347826086
ZA,41.50454370529379,46.818524774210246,39.589285714285715,112,21,81.25
US,40.69464670081715,47.55542126785486,324.640350877193,114,23,79.82456140350878
MX,40.877852075820755,45.16074472520153,153.44347826086957,115,24,79.13043478260869
IN,65.74973557583036,67.0319593470312,96.23008849557522,113,10,91.1504424778761
