,Countryname,Population,Totaltests,Deathrate
190,Switzerland,8655945,652413,6.049603052495537
192,Taiwan,23817793,78023,1.55902004454343
195,Thailand,69804055,603657,1.8113678950655838
197,Togo,8281167,33593,2.1582733812949644
198,Trinidad and Tobago,1399592,5648,6.015037593984963
199,Tunisia,11821008,74408,4.095004095004096
200,Turkey,84356463,3782520,2.5280226670112667
202,UAE,9892612,3720000,0.6164577245734754
203,UK,67893830,11041203,15.512284871018435
204,USA,331044624,39482200,4.268734645095578
206,Ukraine,43726567,760247,2.59058253943464
207,Uruguay,3474005,74568,2.97741273100616
208,Uzbekistan,33477578,1121236,0.4174438227196021
209,Venezuela,28433856,1336021,0.9365634365634364
213,Zambia,18389176,56825,2.2163588390501316
214,Zimbabwe,14866652,82077,1.0169491525423728
