Date,medianvalue,maximum,minimum,Countryname
2020-06-06,17,17,12,Bangladesh
2020-06-07,30,32,22,Bangladesh
2020-06-08,27,29,20,Bangladesh
2020-06-09,36,39,27,Bangladesh
2020-06-10,40,42,30,Bangladesh
2020-06-11,47,50,33,Bangladesh
2020-06-12,64,71,44,Bangladesh
2020-06-13,90,100,56,Bangladesh
2020-06-14,83,92,52,Bangladesh
2020-06-15,78,86,52,Bangladesh
2020-06-16,84,92,55,Bangladesh
2020-06-17,89,99,55,Bangladesh
2020-06-18,82,91,64,Bangladesh
2020-06-19,96,108,74,Bangladesh
2020-06-20,112,129,81,Bangladesh
2020-06-21,114,132,83,Bangladesh
2020-06-22,107,123,78,Bangladesh
2020-06-23,90,108,65,Bangladesh
2020-06-24,110,126,80,Bangladesh
2020-06-25,93,104,72,Bangladesh
2020-06-26,88,98,70,Bangladesh
2020-06-27,79,87,63,Bangladesh
