Date,medianvalue,maximum,minimum,Countryname
2020-06-06,191,239,99,Canada
2020-06-07,179,211,104,Canada
2020-06-08,163,190,97,Canada
2020-06-09,161,188,98,Canada
2020-06-10,154,176,97,Canada
2020-06-11,149,167,97,Canada
2020-06-12,133,148,90,Canada
2020-06-13,142,158,97,Canada
2020-06-14,131,145,88,Canada
2020-06-15,131,146,88,Canada
2020-06-16,123,138,83,Canada
2020-06-17,119,133,80,Canada
2020-06-18,98,110,80,Canada
2020-06-19,106,117,85,Canada
2020-06-20,103,113,85,Canada
2020-06-21,100,110,81,Canada
2020-06-22,111,123,90,Canada
2020-06-23,110,122,89,Canada
2020-06-24,112,123,91,Canada
2020-06-25,109,120,91,Canada
2020-06-26,110,118,93,Canada
2020-06-27,107,114,92,Canada
