Date,medianvalue,maximum,minimum,Countryname
2020-06-06,7,5,6,Australia
2020-06-07,5,3,5,Australia
2020-06-08,5,5,5,Australia
2020-06-09,5,5,6,Australia
2020-06-10,6,6,6,Australia
2020-06-11,4,5,5,Australia
2020-06-12,5,5,6,Australia
2020-06-13,5,5,4,Australia
2020-06-14,6,6,6,Australia
2020-06-15,7,7,7,Australia
2020-06-16,8,10,8,Australia
2020-06-17,10,11,10,Australia
2020-06-18,7,7,6,Australia
2020-06-19,4,4,4,Australia
2020-06-20,5,6,5,Australia
2020-06-21,4,4,6,Australia
2020-06-22,6,5,7,Australia
2020-06-24,5,4,5,Australia
2020-06-23,5,4,6,Australia
2020-06-25,5,5,6,Australia
2020-06-26,5,5,5,Australia
2020-06-27,10,9,8,Australia

