country name,population,pollution index,Tot_affected

Afghanistan,27657145.0,93.4490653025136,12456.0

Myanmar,51419420.0,92.53704183746515,206.0

Mongolia,3093100.0,92.44535560502578,148.0

Ghana,27670174.0,89.19684409860831,7303.0

Lebanon,5988000.0,88.36626926220396,1161.0

Nigeria,186988000.0,87.6297194464311,8733.0

Vietnam,92700000.0,86.4720630435544,327.0

Monaco,38400.0,86.32945870423184,98.0

Bangladesh,161006790.0,86.21459292694892,38292.0

Egypt,91290000.0,85.64919087791333,19666.0

Nepal,28431500.0,84.77333887605965,886.0

Peru,31488700.0,84.13382022619263,135905.0

China,1377422166.0,80.77382552559084,84106.0

North Macedonia,2058539.0,80.23085214953849,2039.0

Cambodia,15626444.0,79.50276113877284,124.0

Ethiopia,92206005.0,79.19275098710024,731.0

India,1295210000.0,78.86749713922603,158086.0

Iraq,37883543.0,78.8322248702557,5135.0

Azerbaijan,9730500.0,78.11891160501666,4568.0

Dominican Republic,10075045.0,77.9034453414783,15723.0

Jordan,9531712.0,77.78229411739787,720.0

Albania,2886026.0,77.77298699838136,1050.0

Iran,79369900.0,77.44633034157863,141591.0

Malta,425384.0,77.06766067457312,612.0

Kenya,47251000.0,76.5969449877496,1471.0

Kazakhstan,17753200.0,75.14845486067591,9304.0

Thailand,65327652.0,75.06562281276653,3054.0

Zimbabwe,14240168.0,74.60838982698444,132.0

Bolivia,10985059.0,74.59742637121617,7768.0

Philippines,103279800.0,74.281244879218,15049.0

Pakistan,194125062.0,74.25446100187605,59151.0

Venezuela,31028700.0,73.76440958699955,1245.0

Bahrain,1404900.0,71.42876331615305,9692.0

Georgia,3720400.0,71.08706965440389,735.0

Guatemala,16176133.0,70.6496736051879,4145.0

Morocco,33337529.0,70.64057201324914,7601.0

Tunisia,11154400.0,69.52655107746425,1051.0

Jamaica,2723246.0,68.91667721774489,569.0

Kuwait,4183658.0,68.69142825796946,23267.0

Syria,18564000.0,68.42257957559681,121.0

Trinidad And Tobago,1349667.0,68.30736547075179,116.0

Turkey,78741053.0,67.35227940728504,159797.0

Indonesia,258705000.0,66.56102687866961,23851.0

Mexico,122273473.0,66.10374316116359,78023.0

Chile,18191900.0,65.78315558351777,82289.0

Algeria,40400000.0,65.74630623264024,8857.0

Bulgaria,7153784.0,65.3313246278034,2460.0

Saudi Arabia,32248200.0,65.08901814669828,78541.0

Ukraine,42692393.0,65.0818874366921,21905.0

Taiwan,23503349.0,63.350516503536866,441.0

Malaysia,31405416.0,63.17563099128312,7619.0

Panama,3814672.0,63.08894420543304,11728.0

Tanzania,55155000.0,62.93123090734661,509.0

Colombia,48759958.0,62.828611655965396,24104.0

Russia,146599183.0,62.787206277971,370680.0

South Korea,50801405.0,62.48445159817128,11344.0

Bosnia And Herzegovina,3531159.0,62.33095896911351,2435.0

Qatar,2587564.0,61.06373599931371,48947.0

Serbia,7076372.0,60.31774750963411,11275.0

Armenia,2994400.0,60.23288872033907,7774.0

Sri Lanka,20966000.0,59.13778736747811,1469.0

Romania,19861408.0,58.42430912610898,18594.0

South Africa,55653654.0,57.303041989256315,25937.0

Israel,8527400.0,57.246400589869864,16793.0

Ecuador,16545799.0,57.000902915210155,38103.0

Mauritius,1262879.0,55.876747320266645,334.0

Italy,60665551.0,55.63246872384282,231139.0

Brazil,206135893.0,54.97914191505707,411821.0

Poland,38437239.0,54.456332121834365,22473.0

Cyprus,847000.0,53.55117567817274,939.0

Belgium,11319511.0,52.94032924469109,57592.0

Greece,10858018.0,52.54868665163863,2903.0

United Arab Emirates,9856000.0,51.15343561721097,31969.0

Argentina,43590400.0,50.66675626674629,13933.0

Hungary,9823000.0,48.28648665291069,3793.0

Costa Rica,4890379.0,46.96997788091093,984.0

Montenegro,621810.0,45.140026283352995,324.0

Uruguay,3480222.0,44.843633115038394,803.0

Belarus,9498700.0,43.633298950604846,38956.0

France,66710000.0,43.563271166427185,183038.0

United Kingdom,65110000.0,40.556182699154846,268619.0

Czech Republic,10558524.0,40.229909766210376,9086.0

Spain,46438422.0,39.98796832770541,236259.0

Slovakia,5426252.0,39.659241169581776,1515.0

Japan,126960000.0,39.59446345790974,16651.0

Oman,4420133.0,37.74093477351215,8373.0

United States,323947000.0,36.87564709387704,1699176.0

Ireland,6378000.0,33.9922098264066,24803.0

Latvia,1961600.0,33.7346729068835,1057.0

Singapore,5535000.0,33.48362076876569,32876.0

Portugal,10374822.0,30.890736044245557,31292.0

Croatia,4190669.0,30.456540372453894,2244.0

Germany,81770900.0,29.026594694080554,181524.0

Lithuania,2872294.0,28.79537737772181,1647.0

Canada,36155487.0,27.829093441335264,88989.0

Netherlands,17019800.0,27.405370482646862,45970.0

Luxembourg,576200.0,24.27653820148749,4001.0

Slovenia,2064188.0,24.06167077939277,1471.0

Australia,24117360.0,23.461158152093162,7150.0

New Zealand,4697854.0,23.39717981244885,1504.0

Switzerland,8341600.0,22.393362581397653,30776.0

Austria,8725931.0,22.18991596829216,16591.0

Denmark,5717014.0,21.325683421383353,11680.0

Norway,5223256.0,20.346436797282948,8401.0

Estonia,1315944.0,19.805667599554752,1840.0

Sweden,9894888.0,18.08990024875911,35088.0

Iceland,334300.0,16.20970055264105,1805.0

Finland,5491817.0,11.547657810205463,6692.0

