country name,Country_code_iso2,healthcare index,Country_name,population,Tot_affected,Tot_dead,Tot_recov,Affected per thousand,Active,Active_rateaff,Active_raterec
Denmark,DK,79.99860994479369,Denmark,5717014.0,11680.0,565.0,10304.0,2.0430245579248187,811.0,6.943493150684931,7.296446243814665
Switzerland,CH,72.43725188041212,Switzerland,8341600.0,30776.0,1917.0,28300.0,3.68946005562482,559.0,1.8163504029113595,1.9370040541945321
Finland,FI,75.79190686890706,Finland,5491817.0,6692.0,313.0,5100.0,1.2185402390502087,1279.0,19.11237298266587,20.05016460260229
Australia,AU,77.38249505573336,Australia,24117360.0,7150.0,103.0,6579.0,0.29646694331386186,468.0,6.545454545454546,6.641123882503193
Netherlands,NL,74.64592905954916,Netherlands,17019800.0,45970.0,5890.0,177.0,2.700971809304457,39903.0,86.80226234500763,99.55838323353295
Austria,AT,78.72762179922465,Austria,8725931.0,16591.0,645.0,15228.0,1.9013443952284288,718.0,4.3276475197396165,4.502696601028472
Iceland,IS,65.91693639192265,Iceland,334300.0,1805.0,10.0,1792.0,5.39934190846545,3.0,0.16620498614958448,0.1671309192200557
New Zealand,NZ,73.81169474805587,New Zealand,4697854.0,1504.0,22.0,1474.0,0.3201461773822686,8.0,0.5319148936170213,0.5398110661268556
Germany,DE,73.32131095501444,Germany,81770900.0,181524.0,8428.0,162820.0,2.219909527717073,10276.0,5.660959432361561,5.936590100291167
Estonia,EE,72.67463446786569,Estonia,1315944.0,1840.0,66.0,1561.0,1.398235791188683,213.0,11.576086956521738,12.006764374295381
Sweden,SE,69.22929187125368,Sweden,9894888.0,35088.0,4220.0,4971.0,3.5460734876433166,25897.0,73.80585955312358,83.89594401969677
Norway,NO,74.35654655289011,Norway,5223256.0,8401.0,235.0,7727.0,1.6083837361216835,439.0,5.225568384716105,5.375949057065883
Slovenia,SI,64.58002737777636,Slovenia,2064188.0,1471.0,108.0,1354.0,0.7126288884539586,9.0,0.6118286879673691,0.6603081438004402
United States,US,69.27048387087197,US,323947000.0,1699176.0,100418.0,391508.0,5.245228386124892,1207250.0,71.04914382029878,75.51174098894265
Spain,ES,78.8831603425714,Spain,46438422.0,236259.0,27117.0,150376.0,5.087575973188753,58766.0,24.873549790695805,28.098612426007207
Japan,JP,81.14303216555612,Japan,126960000.0,16651.0,858.0,13973.0,0.13115154379332072,1820.0,10.930274457990512,11.524092952573927
