Date,affected_1, death_1, recovered_1,affected_2, death_2, recovered_2, affected_3, death_3, recovered_3
7/6/2020,11651329,538772,6335024,11845530,540591,6377947,11658525,538840,6299262
7/7/2020,11825568,542447,6449006,12015892,543204,6483000,11859805,545407,6537984
7/8/2020,12026026,549194,6601496,12220620,546704,6591453,12040641,547618,6633442
7/9/2020,12233054,554312,6731916,12433737,553953,6747370,12208080,550945,6735266
7/10/2020,12463379,559907,6885094,12670864,559127,6875332,12418329,558693,6893800
7/11/2020,12690680,564299,7037733,12904348,564864,7031707,12634126,563923,7020045
7/12/2020,12929049,570244,7152655,13148331,569118,7186048,12879783,569802,7178869
7/13/2020,13133027,573868,7258362,13349544,575278,7295489,13117558,573917,7335145
7/14/2020,13327955,577623,7397272,13538754,578590,7396422,13368675,580291,7440031
7/15/2020,13535142,583395,7539018,13747791,582125,7536911,13565468,583292,7535895
7/16/2020,13772081,589107,7712564,13992730,588144,7679726,13752229,586611,7677271
7/17/2020,14023784,595151,7864804,14252971,594036,7859691,13962826,592873,7821228
7/18/2020,14316574,601556,8023519,14560741,600290,8013062,14214986,598945,8007086
7/19/2020,14539785,607704,8182265,14779866,606940,8174409,14482430,605410,8162165
7/20/2020,14752826,611291,8284460,14984515,613229,8335177,14805728,612302,8325983
