Unnamed: 0,Countryname,Population,Totaltests,Deathrate
40,Channel Islands,173716,10255,8.035714285714286
120,Madagascar,27619112,10249,0.7163323782234957
134,Montenegro,628059,10167,2.7777777777777777
137,Mozambique,31165836,10001,0.8547008547008548
21,Bermuda,62298,6941,6.428571428571428
145,Niger,24112822,6020,6.701570680628272
129,Mayotte,272156,5200,1.2360211889346673
113,Libyan Arab Jamahiriya,6862479,5154,4.23728813559322
188,Swaziland,1159052,4994,0.7168458781362007
98,Isle of Man,84993,4756,7.142857142857142
169,San Marino,33925,4382,6.259314456035768
3,Andorra,77254,3750,6.675392670157068
82,Guadeloupe,400118,3573,8.695652173913043
124,Mali,20190889,3483,5.95432300163132
87,Haiti,11389523,3475,2.4255024255024256
121,Malawi,19079984,3372,1.9704433497536944
182,South Sudan,11181480,3356,1.0060362173038229
198,Trinidad and Tobago,1399086,3115,6.896551724137932
127,Mauritania,4637273,2583,4.728132387706856
9,Aruba,106726,2105,2.9702970297029703
13,Bahamas,392898,2050,10.891089108910892
86,Guyana,786212,1559,7.333333333333332
85,Guinea-Bissau,1963357,1500,0.6694560669456067
32,Cabo Verde,555426,1307,1.0256410256410255
