country,rootmeansquarep1,latest1,rootmeansquarep2,latest2
AF,30.2383493821725,1.0,30.3087319722917,14.285714285714285
DZ,53.22651985937548,11.11111111111111,44.13406483051748,22.22222222222222
AR,52.92116863742724,10.909090909090908,50.33236604154011,0.0
AW,40.0,30.0,50.0,50.0
AZ,49.58066638723579,0.0,48.303133216518326,0.0
BD,45.138199135091725,8.823529411764707,42.289353115709275,14.705882352941178
BY,29.72944961629586,75.0,27.527819609514587,50.0
BE,66.6619980364857,27.27272727272727,68.99275923839717,36.36363636363637
BO,22.09191042398196,4.6875,27.58476969359236,3.125
BA,90.0,10.0,90.5,10.0
BR,65.1062689452722,55.740528128587826,47.60175326679035,37.94489092996556
CA,49.66178473563747,20.0,48.9628153319135,20.0
KY,90.899,10.0,86.0,10.0
CL,36.280956202377,1.8181818181818181,74.9665144915353,14.545454545454545
CG,76.3998407308295,10.0,78.26326552084984,10.0
CD,80.22990957787424,100.0,78.12343163101615,100.0
CY,80.0,50.0,90.0,40.0
DO,58.24009972641036,34.48275862068966,56.4651204033472,27.586206896551722
EG,30.937960362452294,11.76470588235294,34.38823543737745,17.647058823529413
SV,54.13606553099169,37.5,59.36412707553097,50.0
GF,80.0,10.0,60.0,10.0
GM,89.7883081930777,25.0,90.65914241118327,0.0
GH,82.10338344716487,75.0,77.01353712847245,75.0
GP,66.66666666666666,66.66666666666666,52.11573066470477,50.0
GT,64.98344359417504,92.85714285714286,63.27747011389773,100.0
GN,96.31363241760579,10.0,91.40712859451793,10.0
GW,90.0,10.0,80.0,10.0
HT,74.82642286502922,50.0,82.03800030695488,25.0
HN,44.4558622051335,13.57894736842105,56.7979374170576,15.789473684210526
IN,58.1739078717401,3.4957627118644066,73.0179709269944,3.8135593220338984
ID,42.96673200984413,26.0,49.34455971621969,34.0
CI,78.456432989237,100.0,66.27037386424857,100.0
IR,19.769986674176064,11.180124223602485,21.600298281281034,9.316770186335404
IQ,36.69015644938383,1.3157894736842104,37.88992766437586,3.9473684210526314
IL,65.58880768440198,11.11111111111111,74.56638145672532,11.11111111111111
IT,65.69900832951964,96.20253164556962,73.72029069081086,95.56962025316456
JP,80.29914298304848,53.84615384615385,84.98726673234479,53.84615384615385
KE,88.88148781159208,14.285714285714285,89.2971387137299,28.57142857142857
KW,68.82430334476545,25.0,79.30207148934527,25.0
LS,19.23076923076921,19.23076923076923,27.07066602739954,26.15384615384615
MQ,56.14494945629998,10.0,32.70919808070137,8.0
YT,75.0,75.0,50.0,50.0
MX,67.70366198889666,9.606299212598426,68.9075249289818,10.551181102362204
MD,86.57669059639275,36.36363636363637,83.23994485478346,36.36363636363637
MC,80.0,10.0,85.0,10.0
MA,76.2899616393396,9.523809523809524,83.75294947920803,4.761904761904762
NG,63.10849521495095,30.0,59.46643403773163,40.0
OM,65.7509665112658,20.0,70.59633223325197,0.0
PK,53.073146198645105,44.44444444444444,55.32337815038482,55.55555555555556
PE,67.37278282733631,57.89473684210527,66.90848319519385,52.63157894736842
PH,71.67744182385877,40.88607594936708,55.14637702609247,38.35443037974683
PL,92.14526930432046,0.0,96.95081496764803,18.181818181818183
PT,86.21010065684038,0.0,82.01461744969838,33.33333333333333
QA,71.26430045369864,50.0,72.21099249866133,0.0
RO,43.20010005878452,4.0,40.42299159525098,0.0
RU,27.447203883590284,8.47457627118644,29.442465560999377,8.47457627118644
SA,26.743808192818435,0.0,27.152893406711208,3.225806451612903
SN,71.35853977276912,50.0,75.20052261618808,100.0
SO,82.18446151363233,100.0,83.82000746118824,100.0
ZA,62.770354080216315,59.50413223140496,89.44251739773935,81.81818181818183
KR,87.06783608662892,100.0,76.87061147858074,100.0
SD,88.75864585729785,0.0,82.2496693944143,33.33333333333333
CH,35.32572619952873,0.0,55.90952761478084,0.0
TR,18.699948358074685,6.666666666666667,20.314548936606503,13.333333333333334
UA,40.805885404529924,6.896551724137931,43.07578590611469,10.344827586206897
AE,80.89924113317902,100.0,81.17694783780733,0.0
US,74.90045857624338,3.5381750465549344,85.17108688393972,4.748603351955307
UZ,63.280860503378925,25.0,64.68432702839702,25.0
