country name,population,healthcare index,Tot_recov,Latest_date
Denmark,5717014,79.99860994479369,13305,2020-08-12
Switzerland,8341600,72.43725188041212,32700,2020-08-12
Finland,5491817,75.79190686890706,7050,2020-08-12
Australia,24117360,77.38249505573336,12779,2020-08-12
Netherlands,17019800,74.64592905954916,253,2020-08-12
Austria,8725931,78.72762179922465,20268,2020-08-12
Iceland,334300,65.91693639192265,1847,2020-08-12
New Zealand,4697854,73.81169474805587,1531,2020-08-12
Germany,81770900,73.32131095501444,198991,2020-08-12
Estonia,1315944,72.67463446786569,1975,2020-08-12
Sweden,9894888,69.22929187125368,0,2020-08-12
Norway,5223256,74.35654655289011,8857,2020-08-12
Slovenia,2064188,64.58002737777636,1960,2020-08-12
United States,323947000,69.27048387087197,1753760,2020-08-12
Spain,46438422,78.8831603425714,150376,2020-08-12
Japan,126960000,81.14303216555612,35058,2020-08-12
Oman,4420133,58.154239766081865,77072,2020-08-12
Canada,36155487,71.58088490288624,108821,2020-08-12
Portugal,10374822,71.88356618383239,38940,2020-08-12
United Kingdom,65110000,74.46214569096963,1465,2020-08-12
Qatar,2587564,73.30257137786309,110627,2020-08-12
Lithuania,2872294,69.49028321935113,1683,2020-08-12
Croatia,4190669,62.679704472687405,5024,2020-08-12
United Arab Emirates,9856000,67.03940119664006,57193,2020-08-12
Czech Republic,10558524,74.62370946496463,13407,2020-08-12
France,66710000,79.98898809574172,83607,2020-08-12
Ireland,6378000,51.88632331511487,23364,2020-08-12
Belgium,11319511,74.33633922692606,17841,2020-08-12
Slovakia,5426252,60.023767984282316,1884,2020-08-12
Saudi Arabia,32248200,59.11351937641233,257269,2020-08-12
Latvia,1961600,62.90568702888348,1078,2020-08-12
Israel,8527400,73.2885665023417,62109,2020-08-12
Cyprus,847000,51.75355667435408,870,2020-08-12
Singapore,5535000,70.83623033455724,50520,2020-08-12
Taiwan,23503349,86.71452788370918,443,2020-08-12
Poland,38437239,61.00867058661992,37611,2020-08-12
Italy,60665551,66.59010710502179,202697,2020-08-12
South Korea,50801405,81.96500377927123,13786,2020-08-12
Belarus,9498700,59.036678989595394,65893,2020-08-12
Greece,10858018,56.214111561470226,1347,2020-08-12
Romania,19861408,55.05578456008383,31048,2020-08-12
South Africa,55653654,64.14472858459068,432029,2020-08-12
Bulgaria,7153784,55.39576041018786,8479,2020-08-12
Hungary,9823000,47.799874881952235,3529,2020-08-12
Turkey,78741053,69.80285710892498,227089,2020-08-12
Uruguay,3480222,66.28119946157919,1163,2020-08-12
Ecuador,16545799,70.58601588239037,78887,2020-08-12
Bosnia And Herzegovina,3531159,52.26250385391089,8827,2020-08-12
Chile,18191900,65.442927827156,351419,2020-08-12
Mexico,122273473,70.12282773228377,397278,2020-08-12
Malaysia,31405416,68.10437661360798,8817,2020-08-12
Serbia,7076372,51.265556521036174,0,2020-08-12
Georgia,3720400,51.23671182935093,1058,2020-08-12
Kuwait,4183658,56.20827988883545,65451,2020-08-12
Argentina,43590400,69.25247222855947,187283,2020-08-12
Jordan,9531712,64.60226919248475,1215,2020-08-12
North Macedonia,2058539,56.378298991344536,8487,2020-08-12
India,1295210000,67.1269938320172,1639599,2020-08-12
Panama,3814672,59.92786003290204,51597,2020-08-12
Lebanon,5988000,64.375423612315,2407,2020-08-12
Colombia,48759958,67.24011019553645,230427,2020-08-12
Brazil,206135893,56.29039044608058,2473376,2020-08-12
Morocco,33337529,45.71935330426248,25677,2020-08-12
Pakistan,194125062,60.58674613589418,263193,2020-08-12
Ukraine,42692393,52.333587237496126,47084,2020-08-12
China,1377422166,64.48304749196544,82440,2020-08-12
Russia,146599183,57.59407546123578,708900,2020-08-12
Thailand,65327652,77.94771584437149,3169,2020-08-12
Hong Kong,7324300,66.07875710416398,65,2020-03-10
Indonesia,258705000,60.483003134127294,85798,2020-08-12
Kazakhstan,17753200,50.695745427244965,74677,2020-08-12
Vietnam,92700000,57.7006626139217,403,2020-08-12
Egypt,91290000,45.840333291469705,55901,2020-08-12
Peru,31488700,56.15480198813532,329404,2020-08-12
Philippines,103279800,67.47424953361626,68997,2020-08-12
Sri Lanka,20966000,72.53332484405294,2638,2020-08-12
Iran,79369900,51.699244026265156,290244,2020-08-12
Kenya,47251000,55.588166086552384,14610,2020-08-12
Bangladesh,161006790,42.796132398470796,153089,2020-08-12
Nigeria,186988000,51.59092976744031,33943,2020-08-12
