country name,population,pollution index,Tot_affected,Latest_date
Qatar,2587564,61.06373599931371,113938,2020-08-12
Serbia,7076372,60.31774750963411,28751,2020-08-12
Armenia,2994400,60.23288872033907,40794,2020-08-12
Sri Lanka,20966000,59.13778736747811,2881,2020-08-12
Romania,19861408,58.42430912610898,65177,2020-08-12
South Africa,55653654,57.303041989256315,568919,2020-08-12
Israel,8527400,57.246400589869864,88151,2020-08-12
Ecuador,16545799,57.000902915210155,97110,2020-08-12
Mauritius,1262879,55.876747320266645,344,2020-08-12
Italy,60665551,55.63246872384282,251713,2020-08-12
Brazil,206135893,54.97914191505707,3109630,2020-08-12
Poland,38437239,54.456332121834365,53676,2020-08-12
Cyprus,847000,53.55117567817274,1291,2020-08-12
Belgium,11319511,52.94032924469109,75008,2020-08-12
Greece,10858018,52.54868665163863,6177,2020-08-12
United Arab Emirates,9856000,51.15343561721097,63212,2020-08-12
Argentina,43590400,50.66675626674629,260911,2020-08-12
Puerto Rico,3474182,49.92948192172875,0,2020-03-17
Hungary,9823000,48.28648665291069,4768,2020-08-12
Costa Rica,4890379,46.96997788091093,25057,2020-08-12
Montenegro,621810,45.140026283352995,3748,2020-08-12
Uruguay,3480222,44.843633115038394,1393,2020-08-12
Belarus,9498700,43.633298950604846,69102,2020-08-12
France,66710000,43.563271166427185,244061,2020-08-12
United Kingdom,65110000,40.556182699154846,315564,2020-08-12
Czech Republic,10558524,40.229909766210376,18984,2020-08-12
Spain,46438422,39.98796832770541,329784,2020-08-12
Slovakia,5426252,39.659241169581776,2690,2020-08-12
Japan,126960000,39.59446345790974,51278,2020-08-12
Oman,4420133,37.74093477351215,82299,2020-08-12
United States,323947000,36.87564709387704,5191689,2020-08-12
Ireland,6378000,33.9922098264066,26838,2020-08-12
Latvia,1961600,33.7346729068835,1303,2020-08-12
Singapore,5535000,33.48362076876569,55395,2020-08-12
Portugal,10374822,30.890736044245557,53223,2020-08-12
Croatia,4190669,30.456540372453894,5870,2020-08-12
Germany,81770900,29.026594694080554,220859,2020-08-12
Lithuania,2872294,28.79537737772181,2309,2020-08-12
Canada,36155487,27.829093441335264,122689,2020-08-12
Netherlands,17019800,27.405370482646862,61689,2020-08-12
Luxembourg,576200,24.27653820148749,7242,2020-08-12
Slovenia,2064188,24.06167077939277,2303,2020-08-12
Australia,24117360,23.461158152093162,22405,2020-08-12
New Zealand,4697854,23.39717981244885,1579,2020-08-12
Switzerland,8341600,22.393362581397653,37169,2020-08-12
Austria,8725931,22.18991596829216,22439,2020-08-12
Denmark,5717014,21.325683421383353,15423,2020-08-12
Norway,5223256,20.346436797282948,9783,2020-08-12
Estonia,1315944,19.805667599554752,2174,2020-08-12
Sweden,9894888,18.08990024875911,83455,2020-08-12
Iceland,334300,16.20970055264105,1972,2020-08-12
Finland,5491817,11.547657810205463,7642,2020-08-12
