country_code,error(1-day),error(2-day),mean of consecutive difference,total data points,number of outliers, how much we took(%)
MR,84.97462261,106.1165805,21.84615385,91,19,79.12087912
MU,74.07407407,100,0.909090909,11,3,72.72727273
YT,67.68144706,51.32739792,26.625,8,2,75
MX,23.51773846,25.63599471,699.9224138,116,22,81.03448276
MD,34.44238341,39.76319575,68.8173913,115,20,82.60869565
MC,73.91304348,1675.362319,0.740740741,27,5,81.48148148
MN,107.4310777,162.9199602,6.113636364,44,7,84.09090909
ME,377.7963574,448.1587444,35.21875,64,8,87.5
MA,46.13336341,57.03253893,93.54782609,115,20,82.60869565
MZ,90.78540232,122.6946233,12.88888889,9,1,88.88888889
NA,70.25053658,75.36760982,25,66,15,77.27272727
NP,331.7130987,91.95658649,67.14814815,108,21,80.55555556
NL,59.86674966,74.57718931,80.1875,112,18,83.92857143
NZ,61.06060606,59.97202797,1.451612903,62,8,87.09677419
NI,93.18241719,92.76568909,59.2,20,4,80
NE,156.9009289,81.91648629,5.049382716,81,18,77.77777778
NG,23.12251806,25.31496446,93.14285714,112,22,80.35714286
NO,78.04949803,106.1374348,12.5625,112,17,84.82142857
OM,29.90184753,31.7937664,173.0183486,109,24,77.98165138
PK,33.21061578,33.29562358,851.5471698,106,15,85.8490566
PA,25.69806887,27.21989062,145.8125,112,20,82.14285714
PG,114.7205273,162.6836738,10,23,5,78.26086957
PY,152.6239482,193.4544611,35.4,110,24,78.18181818
PE,22.81854826,25.96512767,1645.079208,101,19,81.18811881
PH,33.42846307,37.014595,547.1217391,115,15,86.95652174
PL,16.60584014,20.24777229,72.98275862,116,24,79.31034483
PT,28.83631862,35.61484137,81.37391304,115,20,82.60869565
QA,15.63420817,17.94031105,123.3965517,116,23,80.17241379
RE,66.85770043,44.92181228,1.25,8,1,87.5
RO,18.47682734,19.71269591,81.85217391,115,23,80
RU,4.593834995,5.172328503,278.5862069,116,24,79.31034483
RW,75.11870977,88.65325159,9.964285714,112,18,83.92857143
LC,80,100,0.833333333,6,2,66.66666667
VC,56.06060606,71.21212121,2,14,4,71.42857143
SM,69.29070929,78.15778816,3.704545455,44,8,81.81818182
ST,1516.666667,1566.666667,1.75,4,1,75
SA,11.91100593,14.62857335,183.6521739,115,20,82.60869565
SN,29.60807035,33.88287619,28.8362069,116,25,78.44827586
RS,159.0017975,197.4847975,73.14414414,111,14,87.38738739
SC,197.6851852,250.0925926,12.4,10,2,80
SL,67.42817788,86.00649351,5.416666667,12,2,83.33333333
SG,35.55072148,42.7489527,130.0086207,116,22,81.03448276
SK,168.6789241,234.8545947,10.3490566,106,22,79.24528302
SI,62.07125503,81.9774535,4.475247525,101,23,77.22772277
SO,33.14905564,34.93319931,17.97530864,81,13,83.95061728
ZA,23.19231487,25.52435847,761.1140351,114,18,84.21052632
KR,36.78224064,44.97096992,11.21238938,113,24,78.76106195
SS,4994,24956,12,6,2,66.66666667
ES,320.5758795,450.240442,1371.479592,98,16,83.67346939
LK,221.0260781,590.2954459,19.00925926,108,15,86.11111111
SD,34.24308012,37.09625411,58.5875,80,15,81.25
SR,94.99434441,143.7951267,16.85135135,74,13,82.43243243
SZ,72.89962486,85.56800381,14.97087379,103,21,79.61165049
SE,53.43660206,53.651077,282.2475248,101,14,86.13861386
CH,44.60789528,53.5637497,26.64957265,117,24,79.48717949
SY,88.88888889,155.5555556,1,4,2,50
TW,82.86535304,145.0164204,2.193548387,31,3,90.32258065
TZ,71.26811594,94.54720154,103.3333333,3,0,100
TH,80.07004769,104.6413302,3.791666667,96,13,86.45833333
TL,200,500,0,3,3,0
TG,100.5950888,128.7110796,6.485436893,103,20,80.58252427
TT,111.9210625,143.7439207,5.724137931,29,3,89.65517241
TN,98.02528718,130.7543862,6.087912088,91,14,84.61538462
TR,11.49702882,14.02421089,114.8672566,113,24,78.76106195
UG,81.2815243,177.9841289,8.144230769,104,19,81.73076923
UA,14.90942418,16.47799851,98.22123894,113,16,85.84070796
AE,13.8036428,16.33884123,53.85436893,103,15,85.4368932
GB,71.86962407,83.49056607,358.6036036,111,20,81.98198198
US,13.94937062,15.95443966,5061.166667,114,18,84.21052632
UY,73.36561513,124.0438134,5.182692308,104,20,80.76923077
UZ,40.52010759,40.06189406,72.12280702,114,25,78.07017544
VE,64.00651667,69.56858245,53.69724771,109,26,76.14678899
VN,69.40607169,100.1123962,6.25,52,13,75
YE,100,100,4,1,0,100
ZM,177.732395,249.723958,90.93333333,75,15,80
ZW,140.0089556,221.1332938,38.51724138,87,15,82.75862069
,126.2202429,290.6563221,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,126.2202429
