country,rootmeansquarep1,latest1,rootmeansquarep2,latest2
AF,50.98842655604057,47.5,63.4435293797742,40.833333333333336
DZ,17.49317070380477,13.859275053304904,21.20426623212013,17.48400852878465
AR,21.642616790192044,22.212216719195556,24.789212408520818,27.630196608134472
AW,66.66666666666666,66.66666666666666,45.02790844110181,44.79166666666667
AZ,22.953615287857986,19.101123595505616,25.623670050058905,21.34831460674157
BD,27.296929412446207,10.136157337367626,28.70301602427935,12.51891074130106
BY,16.317136481184125,33.33333333333333,16.987025519612263,34.285714285714285
BE,42.53239355987381,10.978835978835978,48.480385301984604,11.243386243386242
BO,45.83675958819166,24.83277591973244,40.23748891288075,22.32441471571906
BA,73.58071065955357,1.8796992481203008,63.84466334326993,10.526315789473683
BR,79.9330768740217,61.765192547406045,80.7176454631455,47.826326762489934
CA,66.60673711863994,55.45454545454545,68.41559061280817,40.909090909090914
KY,67.31425852208439,67.12328767123287,46.09659445462327,45.20547945205479
CL,64.4801515396372,7.035175879396985,66.94878860877388,4.46677833612507
CG,68.94258355065513,35.80246913580247,72.74718833113914,35.80246913580247
CD,81.97808202139376,3.0303030303030303,94.89815692554834,9.090909090909092
CY,79.06789581084793,7.142857142857142,84.70621145387909,21.428571428571427
DO,55.68362606534502,8.420056764427624,59.2045654336401,14.191106906338694
EG,33.180134220629725,15.517241379310345,40.24304430511821,15.517241379310345
SV,27.1210537470285,42.950819672131146,33.09552265607285,53.11475409836065
GF,67.7259908323437,67.27272727272727,48.20505653614479,46.36363636363636
GM,80.94868468385502,68.18181818181817,98.7303521117545,118.18181818181819
GH,61.37527000643219,44.62809917355372,68.3015397628696,38.01652892561984
GP,67.06191376873473,67.70833333333334,45.41870569405339,46.875
GT,68.74016936493406,1.1299435028248588,79.27408133803792,5.19774011299435
GN,83.38910643445749,3.614457831325301,91.01896209416445,3.614457831325301
GW,81.22765750091328,82.75862068965517,80.66200762409441,75.86206896551724
HT,82.74176132646748,28.57142857142857,73.4776331607708,42.857142857142854
HN,79.88741226131408,6.25,80.46300149703583,0.78125
IN,65.5208529853935,2.2786193971575823,75.30991682297946,3.1703888802124007
ID,24.139672698110733,10.91684434968017,25.150262166122072,12.622601279317697
CI,75.41860368752931,12.068965517241379,95.13464960211631,0.0
IR,14.659458742076323,9.977728285077951,16.476277478822876,8.41870824053452
IQ,28.801964501252105,9.69019333799208,31.745724273435975,11.250873515024457
IL,63.827388390953224,16.218560277536863,73.99394186968884,21.769297484822204
IT,42.093508406085846,23.68839427662957,43.09908576786782,25.914149443561207
JP,50.70573707723395,21.330089213300894,56.48169686565028,4.5417680454176805
KE,50.18724456186645,21.941747572815533,52.292466419616545,16.893203883495143
KW,28.51846598362233,26.5625,30.327988310287633,21.875
LS,15.789473684210526,15.789473684210526,10.526315789473683,10.526315789473683
MQ,67.15969134681808,66.90140845070422,46.242885339766886,46.478873239436616
YT,68.53619624575536,66.66666666666666,51.596881066962794,52.84090909090909
MX,36.86817599146185,1.5130023640661938,39.874415743287024,2.6950354609929077
MD,60.82233415126029,10.42654028436019,65.94872156364777,9.715639810426541
MC,82.73595406616215,0.0,76.8914922946719,50.0
MA,68.43982302398872,21.114864864864867,82.58088711562283,19.313063063063062
NG,31.460716990622416,13.230769230769232,34.850098130860275,30.76923076923077
OM,41.21998057181147,8.287292817679557,41.89678700689398,3.314917127071823
PK,48.9360044247391,18.741633199464523,45.745481524641036,19.143239625167336
PE,39.25878677665581,61.743982864551036,39.201303895783376,64.81032636266276
PH,55.00517494225669,27.947393142320337,60.99992866573211,24.213245655237202
PL,33.125733040190255,5.966277561608301,33.843224680513735,7.263294422827498
PT,61.98822720059185,9.595959595959595,77.3623582562196,8.080808080808081
QA,21.113188300491274,9.386281588447654,22.14133364885789,12.996389891696749
RO,26.66896456109914,8.509036144578314,29.017361479313326,10.692771084337348
RU,10.162538920363604,1.650099403578529,10.606251351423733,1.4314115308151094
SA,16.79543695150277,7.714083510261855,20.142847369237465,6.510969568294408
SN,52.43829687296172,0.625,60.72877163061765,6.25
SO,52.37857215377143,100.0,52.04760260251729,95.65217391304348
ZA,33.94976429165044,10.923997341014847,36.51496085603552,4.254376246399291
KR,56.6406224383187,71.32616487455196,71.82725555922853,81.72043010752688
SD,46.442924027562995,4.081632653061225,49.99754001282209,10.204081632653061
CH,71.09557250068049,15.41501976284585,81.50227578737095,18.181818181818183
TR,17.639612001029427,1.098901098901099,20.36600154595522,1.7751479289940828
UA,22.46512623744907,13.294797687861271,23.865419963580734,16.432700247729148
AE,20.898071014027934,22.137404580152673,23.376420664260454,20.610687022900763
US,23.904490147475467,19.043753204580412,33.57651090705541,17.582464535976754
UZ,77.02967649002892,54.85327313769752,71.47466564975618,51.91873589164786
